species_name,cds_num_sequences,cds_tot_len,cds_compression_ratio_geco3,cds_compression_ratio_gz,ncrna_num_sequences,ncrna_tot_len,ncrna_compression_ratio_geco3,ncrna_compression_ratio_gz
ashbya_gossypii,4776,7020033,24.183490305529904,28.24567918697818,725,275179,2.8010858386722823,4.142394586796231
aspergillus_clavatus,9121,13531458,24.28143367846983,28.169566058587332,235,18842,12.13247001379896,13.968793121749284
aspergillus_fumigatusa1163,9929,14433496,24.39123549831586,28.24251310978297,180,14786,12.789124847829028,15.156228865142701
aspergillus_fumigatus,9623,14234529,24.391780016044084,28.239690965538795,229,18818,16.659581251992773,20.087150600488894
aspergillus_nidulans,10534,15268315,24.318551195727885,28.28441776319129,231,24287,14.47688063573105,17.73788446494009
aspergillus_flavus,13485,17055809,24.58329593160899,28.32924547876914,0,0,0,0
aspergillus_niger,13872,18268021,24.34172262009114,28.244252620467208,679,86598,6.635257165292501,8.648005727614956
blumeria_graminis,7118,10134423,23.132515783088984,27.28182946379878,541,64244,9.256895585579976,10.987796525745596
aphanomyces_invadans,20816,30915762,17.978832286262264,20.25367836639446,143,12488,14.085522101217169,16.82415118513773
aspergillus_oryzae,12074,16292295,24.532117789421317,28.33090733994198,299,39620,14.2781423523473,18.23826350328117
beauveria_bassiana,10179,15061166,23.808143406692416,27.8221420572617,159,17262,17.170663885992354,21.21422778357085
aspergillus_terreus,10401,15615572,24.17376705765245,28.14523861181646,147,12623,14.94890279648261,17.57110037233621
aphanomyces_astaci,26259,36504543,17.637182856939205,19.95981157742476,247,37481,10.418612096795709,12.598383180811613
candida_albicans,6221,9031044,22.97314684769557,27.421292599172364,247,32381,20.542910966307403,25.289521633056424
candida_auris,5417,8110312,24.187614483881756,28.12645185536635,164,12928,9.754022277227723,11.169554455445544
botrytis_cinerea,13749,20360027,21.38844904282298,24.654662786056228,483,57470,11.263267791891423,13.661040542891945
candida_duobushaemulonis,5173,8009927,24.06113064451149,28.021865867192048,154,12079,10.464442420730192,11.871843695670172
candida_glabrata,5311,8012458,23.668155265213247,27.84096965001252,304,39273,18.0149211926769,22.315585771395106
candida_haemuloni,5249,8379153,23.9020936841707,27.999035224682018,157,12138,10.116987971659253,11.525786785302357
candida_parapsilosis,5863,8827869,23.393267389898966,27.747693129565015,121,17959,20.775098836238097,25.58048889136366
candida_pseudohaemulonis,5134,8157373,24.034624872492653,28.020626248180637,150,11505,10.743155149934811,12.394611038678836
fungi_ascomycota1_collection,0,0,0,0,0,0,0,0
fungi_ascomycota2_collection,0,0,0,0,0,0,0,0
fungi_ascomycota3_collection,0,0,0,0,0,0,0,0
fungi_ascomycota4_collection,0,0,0,0,0,0,0,0
fungi_ascomycota5_collection,0,0,0,0,0,0,0,0
candida_tropicalis,6254,9100551,22.51939470478216,27.108721219187714,186,15586,10.387527268061081,12.068523033491594
fungi_basidiomycota2_collection,0,0,0,0,0,0,0,0
fungi_basidiomycota1_collection,0,0,0,0,0,0,0,0
fungi_blastocladiomycota1_collection,0,0,0,0,0,0,0,0
fungi_entomophthoromycota1_collection,0,0,0,0,0,0,0,0
fungi_microsporidia1_collection,0,0,0,0,0,0,0,0
fungi_chytridiomycota1_collection,0,0,0,0,0,0,0,0
fungi_mucoromycota1_collection,0,0,0,0,0,0,0,0
fungi_neocallimastigomycota1_collection,0,0,0,0,0,0,0,0
fungi_rozellomycota1_collection,0,0,0,0,0,0,0,0
cryptococcus_neoformans,6863,11110816,23.422357097804518,27.419723267849992,181,16928,12.730387523629489,18.590500945179585
colletotrichum_graminicola,12020,16793163,23.917215595418206,27.987360094104965,486,86354,10.430321699052737,14.054936656090048
colletotrichum_higginsianum,16141,17673724,23.335766700894503,27.91747794635698,1087,131923,7.070033276987334,9.410792659354321
dothistroma_septosporum,12415,15317972,24.22189438654151,28.103537465664512,162,21790,13.859568609453879,17.035337310692977
colletotrichum_orbiculare,13346,18905592,23.780715250810445,27.901538338497943,1055,115353,9.351295588324534,13.432680554471926
colletotrichum_gloeosporioides,15381,21793447,24.084253399657246,28.057094410076573,946,91673,8.8226631614543,11.535566633578044
fusarium_culmorum,12472,18327890,24.33563274332179,28.176096648332134,377,39621,12.14002675348931,14.903712677620454
fusarium_fujikuroi,14815,21597213,24.33787174298832,28.211501178415936,640,64161,9.499540219136234,11.70025404840947
fusarium_graminearum,14145,19198737,24.33392884125659,28.174171040522094,753,388130,1.3222373946873471,2.2180712647824183
fusarium_pseudograminearum,12448,18146866,24.346898246782665,28.170181010869864,771,74185,8.596077374132237,10.75419559210083
fusarium_oxysporum,17696,21631674,22.496821096693672,28.177509516831662,475,95670,7.17361764398453,9.132434409950871
fusarium_verticillioides,14185,17852160,24.330366745536676,28.16079958951746,505,107883,6.891725294995505,8.964340999045262
gaeumannomyces_graminis,14650,18976686,23.004427643477896,27.313172595046364,211,18461,14.804181788635502,17.393423974865936
fusarium_solani,15705,22633125,24.16015464059868,28.11620578245381,454,51990,11.915753029428737,14.593190998268899
komagataella_pastoris,5040,7213163,24.178741004466417,28.079484686537654,352,33317,10.64921811687727,12.690218206921392
histoplasma_capsulatum,11221,12932069,23.58207337124477,28.26447183354806,0,0,0,0
globisporangium_ultimum,15322,19899935,22.86821037355147,27.744135847679907,140,19584,15.190972222222221,18.295547385620914
leptosphaeria_maculans,12469,15689736,24.23137011355704,28.150741350906095,326,614499,3.3516734770927212,10.24460576827627
microbotryum_violaceum,7819,12596661,22.43473885659065,26.39470888356843,260,28696,14.001951491497072,17.455394480066907
magnaporthe_poae,11370,14784731,23.353113424924672,27.438091366018092,419,55307,11.117941671036217,13.311154103458875
magnaporthe_oryzae,12755,16998177,23.514856916715246,27.682445005720318,327,35692,11.828981284321415,14.39538271881654
neosartorya_fischeri,10395,15248403,24.33222023316147,28.228516783036227,257,20799,11.524592528486947,13.505456993124671
melampsora_laricipopulina,16372,18378992,22.949789629376845,27.999631318191987,753,269622,6.034744939211191,9.123884549480383
neurospora_crassa,10813,16930053,21.613789395697697,25.080305419008436,911,449645,14.384458850871242,21.170478933380778
phaeosphaeria_nodorum,12391,15714434,24.153380261738985,28.129062745753362,321,239490,4.277005302935404,7.933942962127855
phanerochaete_chrysosporium,13602,16659178,23.69591704944866,28.036605407541714,0,0,0,0
puccinia_triticina,11638,13971770,22.408850131372045,28.089619282309975,2318,283462,5.973640205741863,8.997325920229168
puccinia_graminis,15979,18972793,22.19711668176636,27.6651308007208,520,68667,11.78440881354945,14.992645666768608
puccinia_striiformis,18019,17358676,23.806982744536505,28.188906803721665,305,29262,16.109630237167657,19.144282687444466
pyrenophora_teres,11799,16406051,24.005563557007108,28.189605164582265,284,31698,13.619155782699224,16.455296864155468
saccharomyces_cerevisiae,6600,8762001,23.24995169482405,28.041459935921033,424,84277,14.52709517424683,18.223240029901397
pyrenophora_triticirepentis,12169,16413682,23.602711445244278,28.12493869443797,104,9225,15.512195121951219,18.417344173441734
schizosaccharomyces_cryophilus,5180,7031070,23.84412329844533,27.98973698171118,1099,113127,5.859785904337603,7.312135918039019
