species_name,cds_num_sequences,cds_tot_len,cds_compression_ratio_geco3,cds_compression_ratio_gz,ncrna_num_sequences,ncrna_tot_len,ncrna_compression_ratio_geco3,ncrna_compression_ratio_gz
acinetobacter_baumannii_aye_gca_000069245,3712,3499542,23.531250660800758,27.820383353021622,91,32793,6.650809624005123,8.544506449547159
actinobacillus_pleuropneumoniae_serovar_5b_str_l20_gca_000015885,2012,1964559,23.31342555759333,27.54826910263321,80,33008,6.76805622879302,8.813015026660203
aeromonas_hydrophila_subsp_hydrophila_atcc_7966_gca_000014805,4121,4151889,22.568450168104203,27.051975618808694,156,55368,4.493570293310215,6.146149400375668
acinetobacter_baumannii_aye_gca_000069245,3712,3499542,23.531250660800758,27.820383353021622,91,32793,6.650809624005123,8.544506449547159
actinobacillus_pleuropneumoniae_serovar_5b_str_l20_gca_000015885,2012,1964559,23.31342555759333,27.54826910263321,80,33008,6.76805622879302,8.813015026660203
aeromonas_hydrophila_subsp_hydrophila_atcc_7966_gca_000014805,4121,4151889,22.568450168104203,27.051975618808694,156,55368,4.493570293310215,6.146149400375668
aeropyrum_pernix_k1_gca_000011125,1700,1481337,23.587610381702476,27.89183015073545,50,8437,20.777527557188574,25.43558136778476
agrobacterium_fabrum_str_c58_gca_000092025,5355,5004648,23.319042617982326,27.459014100492183,70,20603,10.571276027762949,13.449497645973887
aliivibrio_fischeri_es114_gca_000011805,3818,3725679,23.81683982973305,27.85841184922265,156,64517,3.7695491110870005,5.187779964970473
anaplasma_phagocytophilum_str_hz_gca_000013125,1352,1056654,22.47500127761784,27.639795051170964,42,7722,25.73167573167573,32.18078218078218
aquifex_aeolicus_vf5_gca_000008625,1552,1470174,23.324041916126934,27.667133278101772,51,13057,15.340430420464118,19.062571800566747
archaeoglobus_fulgidus_dsm_4304_gca_000008665,2407,1995819,23.50223141477258,27.8996241643155,49,8158,23.878401569012013,29.394459426329984
azotobacter_vinelandii_dj_gca_000021045,5051,4610838,21.695362101205898,26.714449737770014,108,51614,10.787770759871353,14.775061029953113
bacillus_subtilis_subsp_subtilis_str_168_gca_000009045,4237,3704493,23.980987411772677,28.026048368832118,118,53063,4.615268642933871,6.230329985112037
bacteroides_thetaiotaomicron_vpi_5482_gca_000011065,4825,5638077,23.90109251789218,28.085373789680418,86,26205,8.399160465560007,10.871970997901164
bartonella_henselae_str_houston_1_gca_000046705,1488,1406688,22.826596942605608,27.663134966673493,51,12433,15.96557548459744,19.753880801093864
bifidobacterium_longum_ncc2705_gca_000007525,1729,1929312,23.22060921198852,27.505141729279657,69,23027,10.166326486298694,12.798019715985582
borreliella_burgdorferi_b31_gca_000008685,1339,1150588,19.638306674500342,25.355035859925536,0,0,0,0
