species_name,cds_num_sequences,cds_tot_len,cds_compression_ratio_geco3,cds_compression_ratio_gz,ncrna_num_sequences,ncrna_tot_len,ncrna_compression_ratio_geco3,ncrna_compression_ratio_gz
acanthochromis_polyacanthus,34949,57568824,17.9410699791262,18.980788977033818,509,53255,19.02919913623134,23.267298845178857
accipiter_nisus,27008,48911511,15.050414206177356,16.088194453857703,834,698462,20.89505227199189,25.497020596682425
ailuropoda_melanoleuca,39310,69487583,14.866412895667994,14.79757038030809,3455,2035672,19.080726168066366,23.30748765026979
amazona_collaria,26170,51038918,14.449414856325912,15.836191903597957,776,421990,21.15903220455461,25.67785966492097
amphilophus_citrinellus,31765,44959684,19.788506520641917,22.20544299199256,782,83347,18.70973160401694,23.52214236865154
amphiprion_ocellaris,70038,150979990,12.687620392609645,9.330189384699256,5852,7873820,12.32712965244316,17.913985841688024
amphiprion_percula,34985,56745953,18.210623760253,19.579131925055517,875,102874,10.707272974706923,13.63609852829675
anabas_testudineus,62557,127977838,12.706950870665592,10.196968634522486,1262,1000173,16.7016106213625,20.467959043085546
anas_platyrhynchos,27233,52172037,14.395956975956295,15.626947822643,1632,1547629,19.23439015422947,23.441600021710627
anas_platyrhynchos_platyrhynchos,27833,51042638,14.795738025922564,15.852540771893489,15061,15463948,18.738481272699573,22.38344955634874
anas_zonorhyncha,31345,62147031,13.99612637971394,14.58782158072845,1993,2444785,18.696122562924756,22.824011109361354
ancestral_alleles,0,0,0,0,0,0,0,0
anolis_carolinensis,32972,66685696,13.637897698480947,16.41073521973888,4759,7634399,17.233799281384165,24.88106791379387
anser_brachyrhynchus,27104,58219927,14.031290351841216,14.454008161157606,10988,10218456,19.685292964025095,23.228254836151372
anser_cygnoides,26901,56620694,14.402151269993263,14.821807023417973,5113,5544443,20.27944015296036,24.429631614934088
aotus_nancymaae,42438,70124656,14.844782981894413,14.643729589204687,8939,3403333,15.211852616244133,19.640481845296947
apteryx_haastii,27764,53004336,14.463990266758554,15.548294011267306,2810,2839161,18.90868464310407,24.540630136860855
apteryx_owenii,28116,52686047,14.60013692050193,15.286098423743958,3787,2921894,18.7152922043031,22.626145917682162
apteryx_rowi,28041,53234374,14.565160473193506,15.216910412058194,3632,2807305,19.187619442846433,23.19423789007607
aquila_chrysaetos_chrysaetos,24930,49870746,15.395225890545131,16.472510758110577,1036,669393,19.181108855336106,23.073142384219732
astatotilapia_calliptera,41597,72180741,16.715282820385564,17.94583544106315,939,96029,16.140957419112976,20.00541503087609
astyanax_mexicanus,40688,68268479,17.190254084904982,18.099490688814086,680,90248,10.782510415743285,13.84296604910912
astyanax_mexicanus_pachon,57768,115092725,12.620051354245025,10.486820952410328,4500,4761640,18.28800581312321,21.915201485202576
