species_name,cds_num_sequences,cds_tot_len,cds_compression_ratio_geco3,cds_compression_ratio_gz,ncrna_num_sequences,ncrna_tot_len,ncrna_compression_ratio_geco3,ncrna_compression_ratio_gz
giardia_lamblia,7364,9778297,22.808194514852637,28.155823043624057,90,19645,13.046576737083226,16.131331127513363
entamoeba_histolytica,8113,10237239,20.548753428536738,26.224707657992553,97,11011,17.863954227590593,22.123331214240306
hyaloperonospora_arabidopsidis,14321,13918876,22.22695999303392,28.110703766597243,257,21110,13.912837517764093,17.323543344386547
albugo_laibachii,13804,18932306,19.03185486226559,24.50245627764521,171,24914,19.38669021433732,24.05876214176768
dictyostelium_discoideum,13233,21031869,19.937462524134208,24.752674144176154,488,40109,8.940636764815876,10.678401356304072
leishmania_major,8315,15717316,22.550128787892284,27.042486134401067,1621,262601,6.154584331362028,9.384579647449934
bigelowiella_natans,21706,28817865,23.61116619846751,27.95450669228966,608,114245,11.501597444089457,16.19764541117773
guillardia_theta,24969,30671093,22.736075952689394,27.297263256969686,279,56075,12.707980383415068,16.105216228265714
phaeodactylum_tricornutum,12178,18113227,22.926080482511484,28.05709882617824,177,27659,19.56686792725695,24.379044795545752
phytophthora_kernoviae,10650,11344308,24.06450001181209,28.051406925834527,87,12080,22.01158940397351,27.483443708609272
phytophthora_lateralis,11635,14242768,23.549762237228045,27.873682980723974,105,10840,19.538745387453872,24.354243542435423
phytophthora_infestans,17787,22423430,22.275280811187226,28.0461642130575,1668,554476,4.416782692127342,6.360599917760192
emiliania_huxleyi,38554,39762434,19.162348059477445,26.226721935583726,199,169587,7.133801529598377,10.717212993920525
plasmodium_berghei,4903,10154092,21.305134915066752,25.753981744502614,141,29527,16.483218748941646,21.0451451214143
phytophthora_ramorum,15605,22377332,21.007848478093813,27.74634169971648,198,22127,12.337867763366022,14.63822479323903
protists_alveolata1_collection,0,0,0,0,0,0,0,0
protists_amoebozoa1_collection,0,0,0,0,0,0,0,0
protists_apusozoa1_collection,0,0,0,0,0,0,0,0
protists_choanoflagellida1_collection,0,0,0,0,0,0,0,0
protists_cryptophyta1_collection,0,0,0,0,0,0,0,0
plasmodium_chabaudi,5157,10444556,21.614839347886114,26.12942091554682,132,22618,21.058449022902114,30.117605446989128
protists_euglenozoa1_collection,0,0,0,0,0,0,0,0
protists_fornicata1_collection,0,0,0,0,0,0,0,0
protists_heterolobosea1_collection,0,0,0,0,0,0,0,0
protists_ichthyosporea1_collection,0,0,0,0,0,0,0,0
protists_nucleariidaeandfonticulagroup1_collection,0,0,0,0,0,0,0,0
protists_parabasalia1_collection,0,0,0,0,0,0,0,0
protists_rhizaria1_collection,0,0,0,0,0,0,0,0
protists_stramenopiles1_collection,0,0,0,0,0,0,0,0
plasmodium_knowlesi,5102,11131968,23.291092823838515,27.739865942841373,108,50182,13.993065242517238,21.45191502929337
plasmodium_falciparum,5358,12309897,20.55896162250586,25.301332740639502,252,139527,12.194772337970429,19.91155833637934
plasmodium_vivax,5389,11259778,23.31334596472506,27.612791300148192,110,46728,17.12249614791988,21.687211093990754
phytophthora_sojae,26489,30130606,21.168469031124033,26.477283596619333,1631,119980,1.8494749124854142,2.718786464410735
phytophthora_parasitica,28117,35835288,19.07755003950296,22.207587671682727,106,11526,13.456533055700156,17.04841228526809
paramecium_tetraurelia,39642,53860110,22.62991850555077,27.058992267189947,262,21969,10.510264463562292,12.303700669124677
pythium_aphanidermatum,12312,18096718,23.928283570534724,27.972696485627946,52,11660,21.895368782161235,27.315608919382505
pseudonitzschia_multistriata,12039,19122633,23.287462558111113,27.701598414820804,0,0,0,0
pythium_arrhenomanes,13805,18468799,23.298385563674174,27.524052863426583,50,4700,23.382978723404253,28.97872340425532
pythium_irregulare,13805,20628453,23.366012953079903,27.600096817730346,59,7263,17.127908577722703,21.093212171279085
pythium_iwayamai,15249,20382747,22.34606061685405,27.434947801687375,87,9328,20.69039451114923,25.804030874785592
pythium_ultimum,15322,19899935,22.86812494613676,27.747869528217052,536,49695,8.908340879364122,10.335043766978568
pythium_vexans,11958,18819600,22.950939446109373,27.378132372632784,34,5490,25.555555555555554,31.712204007285976
trypanosoma_brucei,8747,13171678,22.964439306821806,27.750169720213325,683,211130,4.788045280159143,6.5528347463648
thalassiosira_pseudonana,11673,17491542,23.498465715601288,27.72286171224927,98,8090,18.19530284301607,22.50927070457355
toxoplasma_gondii,8303,20013826,23.418685662601444,27.675597859199936,598,373401,2.0369522309795633,4.896612488986371
tetrahymena_thermophila,24725,48191182,22.189183905055494,26.383337100965896,927,80119,5.304609393527128,6.525293625731724
